repo,workflow,name,crons,n_crons,declared_runs_per_day,manual_dispatch,scripts,n_scripts,stages_files,n_staged,paths_mentioned,n_paths,api_secrets,uses_external_api,timeout_minutes,has_concurrency,production_impact,calc_version
v9,af_history_extend.yml,Extend AF History (current season),0 6 * * *,1,1.0,True,scripts/backfill_af_history.py,1,output/af_history.parquet,1,af_history.parquet; output/af_history.parquet; scripts/af_history_cache; scripts/backfill_af_history.py,4,APIFOOTBALL_KEY; GITHUB_TOKEN,True,60,True,COLLECT,1.0.0
v9,af_usage_monitor.yml,API-Football Usage Monitor,"51 1,7,13,19 * * *",1,4.0,True,scripts/af_usage_log.py,1,output/api_usage_log.csv,1,af_history.parquet; output/api_usage_log.csv; output/api_usage_log.csv.; scripts/af_usage_log.py,4,APIFOOTBALL_KEY; GITHUB_TOKEN,True,5,True,REPORT,1.0.0
v9,backtest.yml,Backtest,,0,0.0,True,pipeline.py,1,output/backtest_results_standard.csv,1,af_history.parquet; models/best_params_side_markets.json; models/feature_importances_ht_over05.csv; models/feature_importances_ht_over15.csv; models/metrics_model_ht_over05.json; models/metrics_model_ht_over15.json; models/metrics_model_v9_newformat.json; models/metrics_model_v9_standard.json; models/model_ht_over05.pkl; models/model_ht_over15.pkl,24,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY,True,300,False,TIPS,1.0.0
v9,backtest_matrix.yml,"Backtest (per-model, parallel)",0 3 1 * *,1,0.03,True,pipeline.py,1,output/backtest_by_league_*.csv; output/backtest_results_*.csv,2,af_history.parquet; models/best_params_; models/best_params_*.json; models/best_params_side_markets.json; output/backtest_by_league_; output/backtest_by_league_*.csv; output/backtest_by_league_btts.csv; output/backtest_by_league_over15.csv; output/backtest_by_league_over35.csv; output/backtest_results_,12,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY,True,120,True,TIPS,1.0.0
v9,daily_summary.yml,Daily Summary,0 1 * * *; 0 3 * * *; 0 5 * * *; 0 7 * * *; 0 9 * * *,5,5.0,True,update_results.py,1,,0,af_history.parquet; output/bets_ledger.csv; output/ht_ledger.csv; output/player_ledger.csv; output/sharp_ledger.csv; output/side_bets_ledger.csv,6,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY; TELEGRAM_TOKEN,True,10,False,REPORT,1.0.0
v9,fantasy_refresh.yml,Fantasy Refresh,30 6 * * *,1,1.0,True,,0,,0,af_history.parquet; output/fantasy_projection_log.csv; output/fantasy_tips.csv; output/fpl_bootstrap.json; output/fpl_cache_meta.json; output/fpl_fixtures.json; output/pl_squads.csv; output/pl_squads_official.csv; output/squads_official.csv,9,APIFOOTBALL_KEY; GITHUB_TOKEN,True,20,False,DERIVE,1.0.0
v9,injury_refresh.yml,Injury Refresh,0 4 * * *,1,1.0,True,player_model.pipeline,1,player_history.parquet,1,af_history.parquet; player_history.parquet,2,APIFOOTBALL_KEY; GITHUB_TOKEN,True,30,True,TIPS,1.0.0
v9,live_scanner.yml,Live Scanner,4 8-23 * * *,1,16.0,True,src/live_scanner.py,1,,0,af_history.parquet; output/inplay_snapshots.csv; output/live_games.csv; output/live_signals_history.csv; output/live_tips.csv,5,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY; TELEGRAM_TOKEN,True,5,False,TIPS,1.0.0
v9,nf_odds_capture.yml,New-Format Odds Capture,"35 1,7,13,19 * * *; 20,50 0-3,9-23 * * *",2,8.0,True,scripts/capture_nf_odds_forward.py,1,output/newformat_odds_history.csv,1,af_history.parquet; output/newformat_odds_history.csv; scripts/capture_nf_odds_forward.py,3,APIFOOTBALL_KEY; GITHUB_TOKEN,True,55,True,COLLECT,1.0.0
v9,player_history_extend.yml,Player History Extend,40 3 * * *,1,1.0,True,player_model.pipeline,1,,0,af_history.parquet; output/history_extend_health.json; player_history.parquet,3,APIFOOTBALL_KEY; GITHUB_TOKEN,True,100,True,COLLECT,1.0.0
v9,player_props.yml,Player Props,"2 */2 * * 5,6,0; 2 */6 * * 1-4; 30 23 * * *; 0 5 * * 0; 0 5 * * 1-6",5,9.43,True,player_model.pipeline,1,,0,af_history.parquet; models/model_player_assists.pkl; models/model_player_cards.pkl; models/model_player_goals.pkl; models/model_player_goals2.pkl; models/model_player_sot.pkl; models/model_player_sot2.pkl; models/model_player_sot3.pkl; output/clv_records.csv; output/player_ledger.csv,16,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY; TELEGRAM_TOKEN,True,120,True,TIPS,1.0.0
v9,predict.yml,Predict,"9-59/15 8-23 * * 5,6,0; 9-59/30 0-7 * * 5,6,0; 9-59/30 8-23 * * 1-4; 9 0-7 * * 1-4",4,24.0,True,pipeline.py; telegram_bot/notifier.py,2,output/sharp_history/,1,af_history.parquet; output/af_history.parquet; output/bets.csv; output/bets_ledger.csv; output/book_odds_snapshots.csv; output/fd_history.parquet; output/feature_health.json; output/ht_ledger.csv; output/live_games.csv; output/live_tips.csv,21,GITHUB_TOKEN; GOOGLE_API_KEY; ODDS_API_KEY; TELEGRAM_TOKEN,True,25,True,TIPS,1.0.0
v9,preseason_retrain.yml,Pre-season Retrain,0 2 1 8 *,1,0.03,True,pipeline.py,1,,0,af_history.parquet; models/best_params_btts.json; models/best_params_over15.json; models/best_params_over35.json; models/feature_importances_btts.csv; models/feature_importances_ht_over05.csv; models/feature_importances_ht_over15.csv; models/feature_importances_over15.csv; models/feature_importances_over35.csv; models/metrics_model_ht_over05.json,23,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY,True,120,True,TIPS,1.0.0
v9,prop_odds_snapshot.yml,Prop Odds Snapshot,20 */4 * * *,1,6.0,True,scripts/snapshot_prop_odds.py,1,output/clv_records.csv; output/player_prop_odds_history.csv,2,af_history.parquet; output/clv_records.csv; output/player_prop_odds_history.csv; output/prop_odds_coverage.json; scripts/snapshot_prop_odds.py,5,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY,True,20,True,COLLECT,1.0.0
v9,retrain.yml,"Retrain (daily to 2026-10-05, weekly after)",0 3 * * *,1,1.0,True,pipeline.py,1,,0,af_history.parquet; models/best_params_btts.json; models/best_params_over15.json; models/best_params_over35.json; models/feature_importances_btts.csv; models/feature_importances_ht_over05.csv; models/feature_importances_ht_over15.csv; models/feature_importances_newformat.csv; models/feature_importances_over15.csv; models/feature_importances_over35.csv,33,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY; TELEGRAM_TOKEN,True,240,True,TIPS,1.0.0
v9,sharp_move_alert.yml,Sharp Movement Alert,"0 7,13,19 * * *",1,3.0,True,,0,output/sharp_move_notified.json,1,af_history.parquet; output/sharp_move_notified.json,2,GITHUB_TOKEN; TELEGRAM_TOKEN,False,10,True,TIPS,1.0.0
v9,sharp_tracker.yml,Sharp Money Tracker,"0 8,10,12,14,16,18,20,22 * * *",1,8.0,True,src/sharp_tracker.py,1,output/sharp_history/,1,af_history.parquet; output/sharp_history.json; output/sharp_history.json.migrated; output/sharp_history/; output/sharp_ledger.csv; output/sharp_tips.csv,6,GITHUB_TOKEN; ODDS_API_KEY; TELEGRAM_TOKEN,True,10,False,TIPS,1.0.0
v9,std_odds_capture.yml,Standard Side-Market Odds Capture,"5 0,6,12,18 * * *; 23,52 0-3,9-23 * * *",2,8.0,True,scripts/capture_std_sidemarket_odds_forward.py,1,output/standard_sidemarket_odds_history.csv,1,af_history.parquet; output/standard_sidemarket_odds_history.csv; output/standard_sidemarket_odds_history.csv.; scripts/capture_std_sidemarket_odds_forward.py,4,APIFOOTBALL_KEY; GITHUB_TOKEN,True,65,True,COLLECT,1.0.0
v9,update_results.yml,Update Results,"30 7,9,11,13,15,17,19,21,23 * * *",1,9.0,True,update_results.py,1,,0,af_history.parquet; output/bets_ledger.csv; output/ht_ledger.csv; output/live_signals_history.csv; output/player_ledger.csv; output/sharp_ledger.csv; output/side_bets_ledger.csv,7,APIFOOTBALL_KEY; GITHUB_TOKEN; ODDS_API_KEY,True,10,False,COLLECT,1.0.0
v9,warm_nf_shot_cache.yml,Warm NF Shot Cache,0 3 * * *,1,1.0,True,scripts/warm_nf_shot_cache.py,1,,0,scripts/warm_nf_shot_cache.py,1,APIFOOTBALL_KEY; GITHUB_TOKEN,True,45,True,DERIVE,1.0.0
v9,weekly_summary.yml,Weekly Summary,0 9 * * 1,1,0.14,True,,0,,0,,0,ODDS_API_KEY; TELEGRAM_TOKEN,True,5,False,REPORT,1.0.0
v9,worldcup.yml,World Cup Tracker,,0,0.0,True,worldcup/tracker.py,1,,0,af_history.parquet; output/sharp_ledger.csv; output/worldcup_history.json; output/worldcup_model_tips.csv; output/worldcup_tips.csv,5,GITHUB_TOKEN; ODDS_API_KEY; TELEGRAM_TOKEN,True,10,False,TIPS,1.0.0
pro,pro_backfill_results.yml,Pro Backfill Results,25 */6 * * *,1,4.0,True,src.pipelines.backfill_history; src.pipelines.shadow,2,,0,data/_backfill_fixtures.parquet; data/_backfill_joined.parquet; data/_backfill_resolver_version; output/collect_health.json; output/system_registry.json,5,GITHUB_TOKEN,False,30,True,COLLECT,1.0.0
pro,pro_bet_builder.yml,Pro Bet Builder,"17 9,15,20 * * 5,6,0; 17 15 * * 1-4",2,1.86,True,src.combo.tests; src.pipelines.bet_builder,2,,0,output/**; output/bet_builder_candidates.csv; output/bet_builder_settled.csv; output/combo_import_health.json; output/combo_notified.json,5,GITHUB_TOKEN; TELEGRAM_TOKEN,False,30,True,TIPS,1.0.0
pro,pro_collect.yml,Pro Collect,40 */2 * * *; 15 6 * * *,2,13.0,True,src.combo.canonical; src.market.clv_schema; src.monitoring.manifest; src.monitoring.scheduler; src.pipelines.data_quality; src.pipelines.news_impact,8,output/collect_health.json; output/import_watermarks.json,2,output/clv_enriched.csv; output/collect_health.json; output/collect_health.json.; output/combo_import_health.json; output/high_activity_coverage.json; output/import_watermarks.json; output/news_impact.json; output/output_manifest.json; output/predictions.csv; output/scheduler_health.json,11,GITHUB_TOKEN,False,20,True,COLLECT,1.0.0
pro,pro_live_odds.yml,Pro Live Odds,9 11-23 * * *,1,13.0,True,src.pipelines.live_odds,1,data/season_*/live_odds_snapshots,1,data/season_*/live_odds_snapshots,1,APIFOOTBALL_KEY; GITHUB_TOKEN,True,15,True,TIPS,1.0.0
pro,pro_paper_1x2.yml,Pro Paper 1X2,41 7 * * *,1,1.0,True,src.pipelines.paper_1x2,1,output/paper_1x2.csv,1,output/**; output/paper_1x2.csv,2,GITHUB_TOKEN; TELEGRAM_TOKEN,False,20,True,TIPS,1.0.0
pro,pro_prediction_lab.yml,Pure Prediction Research Lab,40 2 * * 1,1,0.14,True,pip; src.prediction_lab.cross_market; src.prediction_lab.data; src.prediction_lab.goal_dist; src.prediction_lab.leakage; src.prediction_lab.player_goals,8,,0,output/pure_prediction; output/pure_prediction/agreement_analysis.csv; output/pure_prediction/chronological_folds.csv; output/pure_prediction/conditional_outcomes.csv; output/pure_prediction/confidence_calibration.csv; output/pure_prediction/confidence_topk.csv; output/pure_prediction/consistency_violations.csv; output/pure_prediction/cross_market_discoveries.csv; output/pure_prediction/cross_market_lr_tests.csv; output/pure_prediction/cross_market_matrix.csv,34,,False,330,True,TIPS,1.0.0
pro,pro_research.yml,"Pro Research (cross-model, calibration, thresholds)",40 5 * * *,1,1.0,True,src.monitoring.ml_learning_health; src.pipelines.train_mixed; src.validation.calibration_study; src.validation.cross_model; src.validation.pick_accuracy; src.validation.threshold_curves,6,,0,output/calibration_bins.csv; output/calibration_study.csv; output/cross_model_correlation.csv; output/ml_learning_health.json; output/threshold_curves.csv; output/threshold_verdicts.csv,6,GITHUB_TOKEN,False,30,True,TIPS,1.0.0
pro,pro_team_news.yml,Pro Team News,15 */3 * * *,1,8.0,True,src.pipelines.team_news,1,,0,,0,APIFOOTBALL_KEY,True,12,True,TIPS,1.0.0
pro,pro_team_stats.yml,Pro Team Stats,35 4 * * *; 35 16 * * *,2,2.0,True,src.pipelines.team_stats,1,,0,data/v9_config.py,1,APIFOOTBALL_KEY; GITHUB_TOKEN,True,30,True,TIPS,1.0.0
pro,pro_weekly_audit.yml,Pro Weekly Data Audit,15 6 * * 1,1,0.14,True,src.monitoring.weekly_audit,1,,0,output/weekly_audit.json,1,GITHUB_TOKEN,False,20,True,REPORT,1.0.0
v11,v11_collect.yml,V11 Collect,25 8-23 * * *,1,16.0,True,scripts/v11_fit_evidence.py; scripts/v11_grade.py; scripts/v11_market_movement.py; scripts/v11_microstructure.py; scripts/v11_momentum_control.py; scripts/v11_residual.py,8,,0,output/research_state.json; output/v11_chronological_folds.csv; output/v11_evidence.json; output/v11_graded.csv; output/v11_market_microstructure.csv; output/v11_market_movement.csv; output/v11_market_movement_detail.csv; output/v11_microstructure_coverage.csv; output/v11_microstructure_segments.csv; output/v11_momentum_control.csv,29,,False,15,True,COLLECT,1.0.0
