repo,path,kind,format,files,bytes,tracked,layer,last_commit,last_commit_subject,rows,cols,first,last,key_guess,read_error,producers,n_producers,consumers,n_consumers,workflows,n_workflows,mention_only,orphan_written_never_read,dead_no_code_touches_it
v9,arch_bets.parquet,file,parquet,1,3559046,False,DERIVED,,,99448.0,27.0,2025-08-22 00:00:00,2026-06-24 00:00:00,,,,0,,0,,0,0,False,True
v9,joined_bets.parquet,file,parquet,1,166605,False,DERIVED,,,101241.0,6.0,2025-04-01 00:00:00,2026-06-24 00:00:00,,,,0,,0,,0,0,False,True
v9,oddsband_bets.parquet,file,parquet,1,2306096,False,DERIVED,,,99448.0,10.0,2025-08-22 00:00:00,2026-06-24 00:00:00,,,,0,,0,,0,0,False,True
v9,odds_history_v9.json,file,json,1,240572,True,RAW,2026-09-23T04:40:34,auto: predict 2026-09-23 04:40 UTC,306.0,0.0,,,json object,,pro:.github/workflows/pro_weekly_audit.yml; pro:src/monitoring/weekly_audit.py; v9:.github/workflows/predict.yml,3,,0,pro:.github/workflows/pro_weekly_audit.yml; v9:.github/workflows/predict.yml,2,8,True,False
v9,player_history.parquet,file,parquet,1,87111227,True,CANONICAL,2026-09-22T13:00:26,auto: player history extend 2026-09-22 13:00 UTC,316157.0,212.0,2022-08-12 00:00:00,2026-09-20 00:00:00,fixture_id,,pro:player_model/pipeline.py; pro:src/pipelines/bet_builder.py; v9:.github/workflows/injury_refresh.yml; v9:.github/workflows/player_history_extend.yml; v9:.github/workflows/player_props.yml; v9:player_model/pipeline.py,6,pro:player_model/pipeline.py; pro:research/auc_marginal.py; pro:research/calibration_audit.py; pro:research/counterfactual_test.py; pro:research/distributional_test.py; pro:research/oracle_backtest.py; pro:scripts/weather_backtest.py; pro:scripts/x12_backtest.py,19,v9:.github/workflows/injury_refresh.yml; v9:.github/workflows/player_history_extend.yml; v9:.github/workflows/player_props.yml,3,16,False,False
v9,segmented_rules.csv,file,csv,1,5309,False,UNKNOWN,,,55.0,9.0,,,,,,0,,0,,0,0,False,True
v9,team_analyst_bets.parquet,file,parquet,1,2117420,False,DERIVED,,,99448.0,20.0,2025-08-22 00:00:00,2026-06-24 00:00:00,,,,0,,0,,0,0,False,True
v9,team_id_cache.json,file,json,1,4427,False,CACHE,,,7.0,22.0,,,json object,,v9:.github/workflows/player_props.yml; v9:.github/workflows/predict.yml; v9:src/api_football_ou.py,3,,0,v9:.github/workflows/player_props.yml; v9:.github/workflows/predict.yml,2,0,True,False
v9,team_scout_results.csv,file,csv,1,1256,False,UNKNOWN,,,14.0,9.0,,,,,,0,,0,,0,0,False,True
v9,.devcontainer/devcontainer.json,file,json,1,1046,True,UNKNOWN,,,,,,,,JSONDecodeError: Expecting property name enclosed in double quotes: line 3 column 3 (char 26),,0,,0,,0,0,False,True
v9,models/best_params_btts.json,file,json,1,906,True,UNKNOWN,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,7.0,5.0,,,json object,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/best_params_over15.json,file,json,1,904,True,UNKNOWN,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,7.0,5.0,,,json object,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/best_params_over35.json,file,json,1,889,True,UNKNOWN,2026-08-02T12:12:35,auto: parallel backtest 2026-08-02 12:12 UTC,7.0,5.0,,,json object,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/best_params_side_markets.json,file,json,1,4555,True,UNKNOWN,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,4.0,7.0,,,json object,,pro:pipeline.py; v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml; v9:pipeline.py,4,pro:pipeline.py; v9:.github/workflows/backtest_matrix.yml; v9:pipeline.py,3,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,1,False,False
v9,models/best_params_standard.json,file,json,1,1365,True,UNKNOWN,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,7.0,7.0,,,json object,,pro:pipeline.py; v9:pipeline.py,2,v9:src/betting.py,1,,0,0,False,False
v9,models/feature_importances_btts.csv,file,csv,1,1948,True,UNKNOWN,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,42.0,3.0,,,,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/feature_importances_ht_over05.csv,file,csv,1,1871,True,UNKNOWN,2026-08-30T09:58:21,auto: weekly main-model retrain 2026-08-30,42.0,3.0,,,,,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,0,True,False
v9,models/feature_importances_ht_over15.csv,file,csv,1,1952,True,UNKNOWN,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,42.0,3.0,,,,,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,0,True,False
v9,models/feature_importances_newformat.csv,file,csv,1,1229,True,UNKNOWN,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,27.0,3.0,,,,,pro:retrain.py; v9:.github/workflows/retrain.yml; v9:retrain.py,3,,0,v9:.github/workflows/retrain.yml,1,2,True,False
v9,models/feature_importances_over15.csv,file,csv,1,1955,True,UNKNOWN,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,42.0,3.0,,,,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/feature_importances_over35.csv,file,csv,1,1942,True,UNKNOWN,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,42.0,3.0,,,,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/feature_importances_standard.csv,file,csv,1,1940,True,UNKNOWN,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,42.0,3.0,,,,,pro:retrain.py; v9:.github/workflows/retrain.yml; v9:retrain.py,3,,0,v9:.github/workflows/retrain.yml,1,2,True,False
v9,models/feature_importances_v9.csv,file,csv,1,1117,True,UNKNOWN,,,25.0,3.0,,,,,,0,,0,,0,0,False,True
v9,models/metrics_model_ht_over05.json,file,json,1,499,True,DERIVED,2026-08-30T09:58:21,auto: weekly main-model retrain 2026-08-30,4.0,6.0,,,json object,,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,0,True,False
v9,models/metrics_model_ht_over15.json,file,json,1,498,True,DERIVED,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,4.0,6.0,,,json object,,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,0,True,False
v9,models/metrics_model_v9_btts.json,file,json,1,502,True,DERIVED,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,4.0,6.0,,,json object,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/metrics_model_v9_newformat.json,file,json,1,499,True,DERIVED,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,4.0,6.0,,,json object,,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,0,True,False
v9,models/metrics_model_v9_over15.json,file,json,1,502,True,DERIVED,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,4.0,6.0,,,json object,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/metrics_model_v9_over35.json,file,json,1,502,True,DERIVED,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,4.0,6.0,,,json object,,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,,0,v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,models/metrics_model_v9_standard.json,file,json,1,499,True,DERIVED,2026-09-22T11:14:49,auto: main-model retrain 2026-09-22,4.0,6.0,,,json object,,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/preseason_retrain.yml; v9:.github/workflows/retrain.yml,3,0,True,False
v9,models/metrics_v8.json,file,json,1,325,True,UNKNOWN,,,2.0,6.0,,,json object,,,0,,0,,0,0,False,True
v9,output/af_history.parquet,file,parquet,1,370769,True,CANONICAL,2026-09-22T11:19:57,auto: af_history extend 2026-09-22 11:19 UTC,28504.0,24.0,2019-02-15 00:00:00,2026-09-22 00:00:00,date+home_team+away_team,,pro:scripts/backfill_af_history.py; v9:.github/workflows/af_history_extend.yml; v9:.github/workflows/af_usage_monitor.yml; v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml; v9:.github/workflows/daily_summary.yml,23,pro:scripts/backfill_af_history.py; pro:src/architecture/gap.py; pro:x12_nf_backtest.py; v9:scripts/backfill_af_history.py; v9:src/data_loader.py,5,v9:.github/workflows/af_history_extend.yml; v9:.github/workflows/af_usage_monitor.yml; v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml; v9:.github/workflows/daily_summary.yml; v9:.github/workflows/fantasy_refresh.yml,20,9,False,False
v9,output/af_ht_history.parquet,file,parquet,1,51304,False,CANONICAL,,,6977.0,6.0,2022-02-11 00:00:00,2026-06-23 00:00:00,date+home_team+away_team,,pro:backfill_ht_parallel.py; v9:backfill_ht_parallel.py,2,v9:src/data_loader.py; v9:update_results.py,2,,0,0,False,False
v9,output/api_usage_log.csv,file,csv,1,38820,True,REPORT,2026-09-23T06:44:06,auto: af usage 2026-09-23 06:44 UTC,725.0,6.0,2026-08-02 00:00:00,2026-09-23 00:00:00,,,v9:.github/workflows/af_usage_monitor.yml; v9:scripts/af_usage_log.py,2,pro:src/monitoring/scheduler.py; v9:scripts/af_usage_log.py,2,v9:.github/workflows/af_usage_monitor.yml,1,3,False,False
v9,output/backtest_all_leagues.csv,file,csv,1,28655594,True,DERIVED,,,44207.0,73.0,2019-09-28 00:00:00,2026-04-23 00:00:00,date+home_team+away_team,,pro:src/architecture/inventory.py,1,pro:src/architecture/gap.py,1,,0,0,False,False
v9,output/backtest_all_leagues_by_league.csv,file,csv,1,875,True,DERIVED,,,15.0,7.0,,,,,,0,,0,,0,0,False,True
v9,output/backtest_by_league.csv,file,csv,1,293,True,DERIVED,,,7.0,5.0,,,,,,0,,0,,0,0,False,True
v9,output/backtest_by_league_btts.csv,file,csv,1,276,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,7.0,5.0,,,,,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,0,True,False
v9,output/backtest_by_league_newformat.csv,file,csv,1,516,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,12.0,5.0,,,,,pro:retrain.py; v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml; v9:retrain.py,4,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml,2,0,True,False
v9,output/backtest_by_league_over15.csv,file,csv,1,270,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,7.0,5.0,,,,,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,0,True,False
v9,output/backtest_by_league_over35.csv,file,csv,1,2,True,DERIVED,2026-08-02T12:12:35,auto: parallel backtest 2026-08-02 12:12 UTC,,,,,,EmptyDataError: No columns to parse from file,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,,0,v9:.github/workflows/backtest.yml; v9:.github/workflows/backtest_matrix.yml,2,0,True,False
v9,output/backtest_by_league_standard.csv,file,csv,1,260,True,DERIVED,2026-09-01T09:43:41,auto: parallel backtest 2026-09-01 09:43 UTC,7.0,5.0,,,,,pro:retrain.py; v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml; v9:retrain.py,4,pro:pages/4_ℹ️_Model_Info.py; v9:pages/4_ℹ️_Model_Info.py,2,v9:.github/workflows/backtest.yml; v9:.github/workflows/retrain.yml,2,2,False,False
